Time (s),TCD (mV),TVOC (ppb)
1.14,0.0,0.0
1.36,0.3999999999996362,0.0
1.58,0.3999999999996362,0.0
1.9,-0.25,0.0
2.12,-0.6000000000003638,0.0
2.34,-0.5599999999994907,0.0
2.66,-0.5200000000004366,0.0
2.89,-0.7200000000002547,0.0
3.11,-1.309999999999491,0.0
3.43,-1.2000000000007276,0.0
3.66,-0.4700000000002546,0.0
3.87,-0.1599999999998544,0.0
4.19,0.6100000000005821,0.0
4.43,0.8800000000001091,0.0
4.64,1.1499999999996362,0.0
4.86,1.2700000000004366,0.0
5.18,1.440000000000509,0.0
5.4,1.2600000000002185,0.0
5.62,1.1499999999996362,0.0
5.96,0.3099999999994907,0.0
6.18,0.0200000000004365,0.0
6.39,-0.0599999999994906,0.0
6.72,-0.3500000000003638,0.0
6.94,-1.2700000000004366,0.0
7.16,-1.930000000000291,0.0
7.48,-2.4600000000000364,0.0
7.7,-2.8299999999999272,0.0
7.92,-3.319999999999709,0.0
8.24,-4.5900000000001455,0.0
8.47,-5.389999999999418,0.0
8.69,-6.720000000000255,0.0
9.02,-7.520000000000437,0.0
9.23,-7.550000000000182,0.0
9.45,-6.700000000000728,0.0
9.77,-7.079999999999927,0.0
10.01,-8.139999999999418,0.0
10.22,-8.170000000000073,0.0
10.55,-8.460000000000036,0.0
10.76,-7.880000000000109,0.0
10.98,-6.930000000000291,0.0
11.31,-6.770000000000437,0.0
11.53,-6.770000000000437,0.0
11.74,-7.8400000000001455,0.0
12.07,-7.950000000000728,0.0
12.29,-7.260000000000218,0.0
12.51,-6.880000000000109,0.0
12.74,-6.819999999999709,0.0
13.08,-5.940000000000509,0.0
13.3,-5.899999999999636,0.0
13.52,-6.100000000000364,0.0
13.85,-5.789999999999964,0.0
14.06,-5.020000000000437,0.0
14.28,-3.450000000000728,0.0
14.6,-3.649999999999636,0.0
14.83,-3.610000000000582,0.0
15.05,-2.899999999999636,0.0
15.38,-2.550000000000182,0.0
15.59,-2.430000000000291,0.0
15.81,-2.770000000000437,0.0
16.14,-1.610000000000582,0.0
16.35,-0.8999999999996362,0.0
16.57,-1.5,0.0
16.9,-2.539999999999964,0.0
17.13,-2.289999999999964,0.0
17.35,-2.5100000000002183,0.0
17.56,-2.789999999999964,0.0
17.89,-3.300000000000182,0.0
18.11,-4.170000000000073,0.0
18.33,-3.800000000000182,0.0
18.66,-4.190000000000509,0.0
18.87,-3.909999999999856,0.0
19.09,-3.360000000000582,0.0
19.42,-2.110000000000582,0.0
19.64,-1.0,0.0
19.85,0.5799999999999272,0.0
20.19,1.7100000000000364,0.0
20.41,2.4200000000000728,1.0
20.63,3.2299999999995634,1.0
20.95,3.979999999999563,1.0
21.17,3.520000000000437,1.0
21.38,2.8099999999994907,2.0
21.71,3.1900000000005093,2.0
21.94,3.0799999999999272,2.0
22.16,2.2299999999995634,2.0
22.51,0.819999999999709,1.0
22.73,-0.1900000000005093,1.0
22.94,-0.1199999999998908,1.0
23.16,0.1300000000001091,1.0
23.5,0.4099999999998545,0.0
23.72,0.8800000000001091,0.0
23.94,1.2100000000000364,0.0
24.26,0.819999999999709,0.0
24.49,0.6399999999994179,0.0
24.71,1.059999999999491,0.0
25.03,1.1599999999998545,0.0
25.25,2.0499999999992724,0.0
25.47,2.899999999999636,5.0
25.79,3.699999999999818,5.0
26.02,4.3400000000001455,5.0
26.24,4.729999999999563,5.0
26.56,4.789999999999964,4.0
26.78,4.899999999999636,4.0
27.0,5.119999999999891,4.0
27.22,5.389999999999418,4.0
27.54,6.729999999999563,5.0
27.76,7.0900000000001455,5.0
27.98,7.029999999999745,5.0
28.32,6.920000000000073,5.0
28.53,6.260000000000218,2.0
28.75,5.860000000000582,2.0
29.07,6.789999999999964,2.0
29.29,6.860000000000582,2.0
29.51,5.710000000000036,8.0
29.84,4.469999999999345,8.0
30.06,4.029999999999745,8.0
30.29,3.680000000000291,8.0
30.61,3.5599999999994907,0.0
30.94,3.4400000000005093,0.0
31.16,2.630000000000109,0.0
31.37,2.3299999999999272,0.0
31.59,0.8899999999994179,3.0
31.81,0.9699999999993452,3.0
32.13,2.680000000000291,3.0
32.36,3.360000000000582,3.0
32.58,3.819999999999709,4.0
32.9,4.279999999999745,4.0
33.12,4.289999999999964,4.0
33.34,3.880000000000109,4.0
33.68,4.130000000000109,1.0
33.9,3.899999999999636,1.0
34.11,4.420000000000073,1.0
34.33,3.729999999999563,1.0
34.66,2.4600000000000364,4.0
34.88,1.979999999999564,4.0
35.2,0.6300000000001091,4.0
35.42,-0.6399999999994179,4.0
35.64,-1.4200000000000728,0.0
