Time (s),TCD (mV),TVOC (ppb)
0.15,0.0,19.0
1.26,-0.4600000000000364,0.0
1.58,-1.5200000000004366,0.0
1.8,-2.2299999999995634,0.0
2.02,-2.8299999999999272,0.0
2.34,-4.289999999999964,0.0
2.56,-5.159999999999855,0.0
2.79,-4.579999999999927,0.0
3.01,-4.909999999999855,0.0
3.34,-5.369999999999891,0.0
3.66,-5.619999999999891,0.0
3.88,-5.630000000000109,0.0
4.09,-5.309999999999491,0.0
4.32,-5.960000000000036,0.0
4.54,-6.610000000000582,0.0
4.87,-6.420000000000073,0.0
5.08,-6.760000000000218,0.0
5.3,-7.030000000000655,0.0
5.62,-7.0900000000001455,0.0
5.84,-7.300000000000182,0.0
6.07,-7.3400000000001455,0.0
6.4,-7.569999999999709,0.0
6.62,-7.210000000000036,0.0
6.83,-6.309999999999491,0.0
7.16,-5.450000000000728,0.0
7.38,-4.559999999999491,0.0
7.6,-3.860000000000582,0.0
7.92,-4.3400000000001455,0.0
8.15,-4.430000000000291,0.0
8.37,-4.309999999999491,0.0
8.61,-5.180000000000291,0.0
8.93,-5.280000000000655,0.0
9.15,-6.170000000000073,0.0
9.37,-6.530000000000655,0.0
9.69,-6.889999999999418,0.0
9.91,-7.030000000000655,0.0
10.13,-7.380000000000109,0.0
10.47,-6.550000000000182,0.0
10.68,-7.030000000000655,0.0
10.9,-7.479999999999563,0.0
11.22,-6.829999999999927,0.0
11.44,-6.860000000000582,0.0
11.66,-6.280000000000655,0.0
12.0,-6.119999999999891,0.0
12.21,-5.720000000000255,0.0
12.42,-5.539999999999964,0.0
12.76,-5.079999999999927,0.0
12.98,-5.260000000000218,0.0
13.19,-4.530000000000655,0.0
13.52,-3.569999999999709,0.0
13.75,-3.0599999999994907,0.0
13.96,-2.639999999999418,0.0
14.29,-2.050000000000182,0.0
14.5,-2.139999999999418,0.0
14.72,-2.4099999999998545,0.0
15.05,-3.039999999999964,0.0
15.28,-2.9400000000005093,0.0
15.49,-2.889999999999418,0.0
15.71,-3.050000000000182,0.0
16.04,-4.260000000000218,0.0
16.26,-4.010000000000218,0.0
16.58,-3.720000000000255,0.0
16.8,-3.930000000000291,0.0
17.13,-4.180000000000291,0.0
17.34,-4.25,0.0
17.58,-3.970000000000255,8.0
17.78,-3.0,8.0
18.0,-2.130000000000109,8.0
18.34,-1.1300000000001091,8.0
18.55,0.1399999999994179,1.0
