Time (s),TCD (mV),TVOC (ppb)
1.17,0.0,0.0
1.39,0.4099999999998545,0.0
1.61,0.0,0.0
1.82,-0.2800000000006548,0.0
2.16,-0.6599999999998545,0.0
2.38,-1.0799999999999272,0.0
2.59,-2.0100000000002183,0.0
2.92,-2.450000000000728,0.0
3.14,-2.7600000000002183,0.0
3.35,-2.9099999999998545,0.0
3.69,-2.860000000000582,0.0
4.12,-3.1200000000008004,0.0
4.45,-2.9700000000002547,0.0
4.67,-2.4099999999998545,0.0
4.89,-2.1700000000000728,0.0
5.44,-2.7399999999997817,0.0
5.66,-2.930000000000291,0.0
5.88,-2.819999999999709,0.0
6.2,-2.840000000000145,0.0
6.44,-2.5599999999994907,0.0
6.66,-2.700000000000728,0.0
6.99,-2.770000000000437,0.0
7.2,-2.7200000000002547,0.0
7.42,-2.450000000000728,0.0
7.76,-1.819999999999709,0.0
7.97,-0.9400000000005092,0.0
8.19,-0.2000000000007276,0.0
8.52,-0.0200000000004365,0.0
8.73,0.3400000000001455,0.0
8.95,0.5,0.0
9.28,0.3500000000003638,0.0
9.49,0.2799999999997453,0.0
9.71,0.1700000000000727,0.0
10.04,0.0299999999997453,0.0
10.26,0.0399999999999636,0.0
10.48,0.0299999999997453,0.0
10.81,0.2799999999997453,0.0
11.03,1.0900000000001455,0.0
11.25,1.4099999999998545,0.0
11.58,2.0299999999997453,0.0
11.8,3.090000000000145,0.0
12.02,3.719999999999345,0.0
12.34,4.219999999999345,0.0
12.56,4.859999999999673,0.0
12.78,5.069999999999709,0.0
13.0,5.430000000000291,0.0
13.32,5.639999999999418,0.0
13.54,5.389999999999418,0.0
13.76,5.100000000000364,0.0
14.1,4.639999999999418,0.0
14.31,4.149999999999636,0.0
14.53,3.3299999999999272,0.0
14.86,2.7399999999997817,0.0
15.29,1.5499999999992724,0.0
15.62,0.7999999999992724,0.0
15.85,-0.0100000000002182,0.0
16.07,-0.3400000000001455,0.0
16.4,-0.5100000000002183,0.0
16.61,-0.5399999999999636,0.0
16.83,-0.3999999999996362,0.0
17.16,-0.0100000000002182,0.0
17.37,0.0499999999992724,1.0
17.59,0.1700000000000727,1.0
17.82,0.1499999999996362,1.0
18.16,0.3699999999998908,1.0
18.38,0.4799999999995634,0.0
18.59,0.9200000000000728,0.0
18.92,0.2600000000002183,0.0
19.14,-0.1400000000003274,0.0
19.35,-0.8600000000005821,0.0
19.68,-1.3500000000003638,0.0
19.91,-2.0599999999994907,0.0
20.13,-1.950000000000728,0.0
20.67,-2.270000000000437,0.0
20.89,-2.9200000000000728,0.0
21.21,-3.4400000000005093,0.0
21.43,-3.25,0.0
21.65,-3.8700000000008,0.0
21.99,-4.25,0.0
22.21,-4.450000000000728,0.0
22.42,-4.020000000000437,3.0
22.75,-3.9899999999997817,3.0
22.96,-3.940000000000509,3.0
23.18,-3.819999999999709,3.0
23.52,-3.8299999999999272,0.0
23.85,-4.039999999999964,0.0
24.06,-4.300000000000182,0.0
24.28,-3.770000000000437,0.0
24.5,-3.2100000000000364,0.0
24.72,-3.2299999999995634,0.0
24.95,-3.380000000000109,0.0
25.27,-4.039999999999964,0.0
25.59,-4.390000000000327,2.0
25.81,-4.800000000000182,2.0
26.04,-4.6200000000008,2.0
26.25,-4.440000000000509,2.0
26.47,-4.149999999999636,7.0
26.79,-3.850000000000364,7.0
27.01,-4.300000000000182,7.0
27.24,-3.680000000000291,7.0
27.57,-3.4700000000002547,1.0
27.78,-3.039999999999964,1.0
28.0,-2.610000000000582,1.0
28.32,-2.520000000000437,1.0
28.55,-2.3099999999994907,5.0
28.77,-1.9899999999997813,5.0
29.1,-1.559999999999491,5.0
29.42,-2.0799999999999272,5.0
29.75,-2.2299999999995634,0.0
30.09,-2.4899999999997817,0.0
30.41,-2.4700000000002547,0.0
30.62,-2.610000000000582,0.0
30.84,-2.4400000000005093,0.0
31.06,-1.9899999999997813,0.0
31.28,-2.300000000000182,0.0
31.5,-2.4400000000005093,0.0
31.73,-2.180000000000291,2.0
31.94,-1.3299999999999272,2.0
32.16,-0.9099999999998544,2.0
32.37,-0.4700000000002546,2.0
32.59,-0.3600000000005821,2.0
32.92,-0.4799999999995634,2.0
33.13,-0.5500000000001819,2.0
33.37,-0.9099999999998544,2.0
33.6,-0.5200000000004366,6.0
33.93,-0.8900000000003274,6.0
34.14,-1.5799999999999272,6.0
34.35,-2.350000000000364,6.0
34.68,-2.5799999999999272,1.0
34.91,-3.610000000000582,1.0
35.13,-4.069999999999709,1.0
35.45,-4.739999999999782,1.0
35.66,-5.399999999999636,0.0
35.9,-5.309999999999491,0.0
36.22,-5.5900000000001455,0.0
36.44,-5.5900000000001455,0.0
36.65,-5.270000000000437,2.0
36.99,-4.890000000000327,2.0
37.21,-4.170000000000073,2.0
37.42,-3.289999999999964,2.0
37.75,-3.0,0.0
38.07,-1.6700000000000728,0.0
38.41,-1.1499999999996362,0.0
38.73,-0.5399999999999636,0.0
39.05,-0.1300000000001091,7.0
39.29,0.0399999999999636,7.0
39.5,0.0399999999999636,7.0
39.72,-0.180000000000291,7.0
39.93,-0.680000000000291,1.0
40.16,-1.0300000000006548,1.0
40.38,-1.1000000000003638,1.0
40.59,-1.3800000000001091,1.0
40.81,-0.9500000000007276,0.0
41.03,-1.190000000000509,0.0
41.25,-1.2200000000002549,0.0
41.46,-1.0300000000006548,0.0
41.79,-1.069999999999709,0.0
42.01,-0.6700000000000728,0.0
42.23,-0.2800000000006548,0.0
42.56,0.0799999999999272,0.0
42.79,0.6499999999996362,5.0
43.0,-0.0900000000001455,5.0
43.32,-0.3700000000008003,5.0
43.54,-0.2000000000007276,5.0
43.87,0.4600000000000364,1.0
44.21,0.7199999999993452,1.0
44.53,1.1599999999998545,1.0
44.85,1.430000000000291,1.0
45.08,1.309999999999491,4.0
45.3,1.6000000000003638,4.0
45.52,1.1599999999998545,4.0
45.73,1.7199999999993452,4.0
45.95,1.5799999999999272,0.0
46.17,1.059999999999491,0.0
46.38,0.3500000000003638,0.0
46.6,-0.1000000000003638,0.0
46.83,-1.110000000000582,0.0
47.05,-1.930000000000291,0.0
47.38,-2.700000000000728,0.0
47.59,-3.770000000000437,0.0
47.92,-4.520000000000437,0.0
48.13,-4.860000000000582,0.0
48.35,-5.159999999999855,0.0
48.59,-5.479999999999563,0.0
48.93,-5.850000000000364,6.0
49.14,-6.039999999999964,6.0
49.36,-6.450000000000728,6.0
49.69,-7.0,6.0
49.9,-7.030000000000655,5.0
50.12,-7.510000000000218,5.0
50.46,-7.260000000000218,5.0
50.68,-7.390000000000327,5.0
50.9,-7.289999999999964,5.0
51.11,-7.270000000000437,5.0
51.44,-7.430000000000291,5.0
51.65,-7.0900000000001455,5.0
51.98,-6.510000000000218,1.0
52.21,-5.920000000000073,1.0
52.43,-5.140000000000327,1.0
52.64,-4.079999999999927,1.0
52.97,-3.4200000000000728,0.0
53.18,-3.149999999999636,0.0
53.4,-2.8099999999994907,0.0
53.73,-2.3900000000003274,0.0
53.95,-2.0,4.0
54.17,-1.7200000000002549,4.0
54.51,-1.0300000000006548,4.0
54.73,-0.0799999999999272,4.0
54.94,0.1000000000003638,0.0
55.27,1.1199999999998909,0.0
