Time (s),TCD (mV),TVOC (ppb)
1.16,0.0,0.0
1.38,0.8299999999999272,0.0
1.71,5.619999999999891,0.0
1.93,8.510000000000218,0.0
2.16,7.969999999999345,0.0
2.47,7.639999999999418,0.0
2.7,8.670000000000073,0.0
2.91,11.039999999999964,0.0
3.25,13.719999999999343,0.0
3.46,17.229999999999563,0.0
3.69,15.6299999999992,0.0
3.91,13.920000000000073,0.0
4.23,12.55999999999949,0.0
4.45,12.05999999999949,0.0
4.78,12.779999999999744,0.0
5.0,10.75,0.0
5.33,12.779999999999744,0.0
5.55,19.80999999999949,0.0
5.76,23.789999999999964,0.0
5.98,34.35999999999967,0.0
6.31,40.06999999999971,0.0
6.52,41.61999999999989,0.0
6.75,38.97999999999956,0.0
6.97,37.60000000000037,0.0
7.3,30.9399999999996,0.0
7.51,30.56999999999971,0.0
7.73,26.100000000000364,0.0
8.05,17.43000000000029,0.0
8.27,12.289999999999964,0.0
8.5,-0.7399999999997817,0.0
8.82,-5.420000000000073,0.0
9.04,-5.350000000000364,0.0
9.26,-2.649999999999636,0.0
9.58,-0.3100000000004002,0.0
9.81,6.219999999999345,0.0
10.03,5.639999999999418,0.0
10.36,2.7299999999995634,0.0
10.68,1.6199999999998909,0.0
11.01,0.7399999999997817,0.0
11.23,3.80999999999949,0.0
11.44,7.350000000000364,0.0
11.67,8.8799999999992,0.0
11.89,9.069999999999707,0.0
12.11,7.729999999999563,0.0
12.33,5.770000000000437,0.0
12.65,7.719999999999345,0.0
12.87,12.0,0.0
13.1,12.079999999999927,0.0
13.33,10.829999999999927,0.0
13.65,8.170000000000073,0.0
13.87,-1.9099999999998545,0.0
14.09,-10.700000000000728,0.0
14.41,-18.550000000000185,0.0
14.64,-22.92000000000008,0.0
14.86,-24.340000000000146,0.0
15.18,-25.3700000000008,0.0
15.4,-26.6200000000008,0.0
15.63,-26.6200000000008,0.0
15.95,-23.96000000000004,0.0
16.28,-18.3100000000004,0.0
16.5,-9.289999999999964,1.0
