Time (s),TCD (mV),TVOC (ppb)
1.22,0.0,0.0
1.44,-1.0200000000004366,0.0
1.66,1.4099999999998545,0.0
1.89,2.3299999999999272,0.0
2.23,1.5799999999999272,0.0
2.45,1.319999999999709,0.0
2.66,0.0900000000001455,0.0
2.89,-1.190000000000509,0.0
3.23,-2.350000000000364,0.0
3.45,-2.0100000000002183,0.0
3.67,-0.930000000000291,0.0
3.99,-1.569999999999709,0.0
4.21,-2.9099999999998545,0.0
4.54,-4.510000000000218,0.0
4.97,-4.649999999999636,0.0
5.19,-4.5,0.0
5.42,-5.350000000000364,0.0
5.63,-5.510000000000218,0.0
5.86,-4.799999999999272,0.0
6.07,-5.319999999999709,0.0
6.29,-7.039999999999964,0.0
6.51,-7.0,0.0
6.73,-8.430000000000291,0.0
7.06,-9.739999999999782,0.0
7.28,-11.55999999999949,0.0
7.61,-12.969999999999343,0.0
7.82,-12.19000000000051,0.0
8.15,-12.289999999999964,0.0
8.37,-11.590000000000146,0.0
8.7,-11.710000000000036,0.0
8.91,-12.110000000000582,0.0
9.13,-13.960000000000036,0.0
9.46,-15.020000000000437,0.0
9.68,-16.460000000000036,0.0
10.01,-17.520000000000437,0.0
10.22,-19.829999999999927,0.0
10.44,-21.610000000000586,0.0
10.66,-24.15999999999985,0.0
10.88,-27.289999999999964,0.0
11.11,-27.69999999999981,0.0
11.33,-27.69000000000051,0.0
11.54,-26.719999999999345,0.0
11.87,-26.69999999999981,0.0
12.09,-26.090000000000146,0.0
12.3,-26.19000000000051,0.0
12.63,-25.13999999999941,0.0
12.85,-25.14999999999964,0.0
13.08,-24.61999999999989,0.0
13.42,-24.219999999999345,0.0
13.64,-25.19999999999981,0.0
13.85,-26.029999999999745,0.0
14.07,-26.63999999999941,0.0
14.39,-27.5,0.0
14.64,-27.88999999999941,0.0
14.85,-27.15999999999985,0.0
15.18,-26.38000000000011,0.0
15.39,-26.11999999999989,0.0
15.62,-25.55999999999949,0.0
15.95,-23.63999999999941,0.0
16.17,-22.43000000000029,0.0
16.38,-21.539999999999964,0.0
16.71,-19.5,0.0
16.92,-18.340000000000146,0.0
17.14,-19.23999999999978,0.0
17.48,-20.350000000000364,1.0
17.7,-22.029999999999745,1.0
17.91,-23.360000000000586,1.0
18.13,-24.729999999999563,1.0
18.46,-26.579999999999927,0.0
18.68,-27.850000000000364,0.0
19.0,-29.039999999999964,0.0
19.22,-32.67000000000007,0.0
19.44,-33.39999999999964,2.0
19.78,-32.13000000000011,2.0
20.0,-32.279999999999745,2.0
20.22,-31.90999999999985,2.0
20.44,-31.68000000000029,1.0
20.76,-31.13999999999941,1.0
20.98,-31.110000000000586,1.0
21.2,-32.76000000000022,1.0
21.52,-32.73999999999978,3.0
21.74,-32.57999999999993,3.0
21.96,-32.98999999999978,3.0
22.28,-33.840000000000146,3.0
22.5,-34.039999999999964,1.0
22.73,-35.72999999999956,1.0
23.06,-36.71000000000004,1.0
23.28,-36.17000000000007,1.0
23.49,-35.02000000000044,4.0
23.82,-32.56999999999971,4.0
24.04,-31.850000000000364,4.0
24.26,-30.43000000000029,4.0
24.58,-29.219999999999345,0.0
