TCD_Max,TCD_AUC,TCD_Mean,Label
4.653725566521135,-48.9001636546752,-0.1559627067127078,propana
5.017746589087076,66.52797461778664,0.2120783601348027,propana
6.416042661783972,161.93826781659536,0.5143872106621875,propana
6.0455751671388605,-27.78654569945525,-0.090326083318343,propana
6.63338086331034,936.9302115885488,2.969636950707001,propana
4.679409129884185,-62.49091230005096,-0.1993661292175618,propana
7.909424197648653,-549.864410129494,-1.758263410619486,propana
3.1582975315837003,4.246509665056722,0.0131867565206331,spirtus
4.590770138795571,44.63026719267969,0.1410170948246252,propana
6.287957401068043,50.36395696973102,0.158928675248422,propana
3.6502759086735206,92.83134794345824,0.2997897120255004,spirtus
6.638471529753812,58.002040971571134,0.1824396770256391,propana
1.4071850187441852,-84.99173312101755,-0.2733286055100175,spirtus
6.538141912712096,60.32020000561256,0.1908746856247113,propana
2.15986179646433,-48.41546260561272,-0.1544452309397913,spirtus
2.980047462346913,199.0767659955618,0.6374833529245374,spirtus
4.018031792047235,45.95336721507222,0.1454636159705553,spirtus
3.625794663515712,20.40713779902289,0.0648450536559556,spirtus
3.499909389302993,-165.10584099709104,-0.529419505677863,spirtus
2.1191364649165454,28.078912291848063,0.0893161971859218,spirtus
6.911269856151788,-445.5220955182391,-1.4184926709079635,propana
2.7751161614491107,-36.03135486047048,-0.1149966062143381,spirtus
4.2437606397718906,12.236016998145978,0.0385253810269797,propana
2.419255553935773,-43.396215239678845,-0.1414257463986661,spirtus
8.708454179366653,8.44244617962218,0.0264208373126373,propana
0.980669030744052,-199.7559487224202,-0.6374568072189419,spirtus
3.145685981047859,26.221202758556498,0.0830064832193893,spirtus
1.1349494795912176,-110.3225711811593,-0.3510975497752222,spirtus
9.105321512050276,220.57861387540217,0.7011212367097448,propana
6.543744203923759,91.53777932360936,0.2918048151740118,propana
3.149216191948358,-535.2861446633995,-1.7479773455981131,spirtus
3.919978905223956,-75.14682070329351,-0.2394655731322638,spirtus
4.873468404457988,-91.22222387289877,-0.2916716230067802,propana
2.05239501390639,-215.43387114391996,-0.687832375815485,spirtus
2.3958998832679788,-26.63445679013004,-0.0855817501067085,spirtus
9.3393898434964,148.18354343301493,0.4715258870882508,propana
3.5156930134016022,-12.524844954695734,-0.0401625928830411,spirtus
8.250908149175899,-10.740514669481932,-0.0348998809180132,propana
1.6517672391765796,-69.58202998424048,-0.2238015241441225,spirtus
5.080855504243095,116.55193177136196,0.3682114398876527,propana
2.7282513326830653,-89.0236704533402,-0.2836235820334688,spirtus
4.048140909655113,54.43627482118277,0.1744891340180147,propana
9.934639680045022,757.5428004920803,2.401135860860012,propana
6.676075950215648,-242.08963721640072,-0.7703149262211688,propana
3.999204000577907,28.58558869330399,0.0913288323525055,propana
3.4282051780414093,-53.82163525300865,-0.1717215812072997,spirtus
5.700944723287255,-51.261271450806575,-0.1652326228765825,propana
5.918001531191118,-2.232769818075408,-0.0078806962948495,propana
4.155198392398504,190.507381547308,0.6044851007538697,spirtus
3.594892527517142,27.559152689845632,0.0872879704263184,spirtus
1.382985167208883,-71.43862566506098,-0.2316042372055436,spirtus
1.5210726921428908,-4.376373134630782,-0.0154480539339385,spirtus
5.482839084608603,29.77401414889001,0.0936876751496201,propana
5.971926781758159,84.06176472341214,0.2672547287854523,propana
3.307308245318528,-83.09672774502481,-0.2647705341668539,spirtus
6.929151141799967,217.3944654338056,0.689006241038143,propana
3.9086464166085855,-51.781618886992206,-0.1673955628260508,spirtus
10.51950353379942,81.9711758519608,0.2598943312083046,propana
2.373004674891556,-135.97562891740614,-0.4330479809380025,spirtus
2.652223892130292,-20.541556866233684,-0.0656832062759706,spirtus
3.823026011652282,15.91667169603046,0.0505502403499135,spirtus
5.906899273721433,-25.63921977841165,-0.0839715178508416,propana
7.608307440331458,65.52130172389911,0.2083425217000817,propana
3.8927093050795225,-91.92059221577554,-0.2930226162867705,spirtus
1.8152825150895444,-107.75312817652194,-0.342112197607692,spirtus
2.248065906499983,-96.01976876465754,-0.3048957862461606,spirtus
1.8552148282466363,-71.45714968746928,-0.2271238023778075,spirtus
4.37176915677259,-44.741843816890814,-0.1384336488123747,propana
6.81927972283154,-3.2701023604963595,-0.0116333791383894,propana
3.9959551832999103,208.872525132282,0.6695384036629171,propana
2.759792999641872,-19.74375157815925,-0.0643099877368878,spirtus
5.894492373092869,71.89404920827532,0.2293581930799358,propana
4.314774157596419,77.4209141384863,0.2485196031281357,propana
5.103392575281787,0.7876704197197739,0.0019976852609165,propana
1.5837723074843617,-6.713285887926299,-0.0216013726180286,spirtus
9.218774304396025,50.24657745728929,0.1596740232043632,propana
3.6321132294028367,-98.79446336997287,-0.3137499709606893,spirtus
1.769671167005562,-277.0438131262838,-0.895335626617028,spirtus
7.703725459598568,170.74448069854324,0.5412345173471632,propana
3.9829599141879286,-31.89663104361908,-0.103635164824069,spirtus
