TVOC_Skew,TVOC_Decay,TVOC_Kurtosis,Label
2.1454021045445675,0.1816734935868718,3.8050839930839393,propana
1.8990050494832167,0.2012036271952041,2.5446214266475984,propana
2.112536674701337,0.130840930478244,3.6018631498223552,propana
2.1269132410417595,0.1706836410718838,3.6713458223265487,propana
2.081987453714513,0.1497718737559452,3.4177401263433973,propana
2.1104016387197357,0.175904197019856,3.560069892448862,propana
1.9671674519649327,0.1767959760592939,2.8114786114418173,propana
5.487185962056672,0.7345400856680998,29.496115756222217,spirtus
1.9843389522943204,0.2130389842817955,2.9032939917380105,propana
1.95841877285482,0.195568877468989,2.7563204133663133,propana
5.847655457036084,0.6783150905217485,34.238250846388034,spirtus
2.134285913511885,0.1614194016658693,3.665202771613502,propana
5.443099154057373,0.6240981901724957,30.451108826060576,spirtus
2.158703543328872,0.1656363034175183,3.863803650307096,propana
7.061765791107808,0.4561001507545799,53.00384931957224,spirtus
7.169822078201591,0.4581368068745908,54.1895933119662,spirtus
5.535978747757537,0.6167140612937418,31.51150888080804,spirtus
5.858094795852968,0.694152456691652,34.8707891757051,spirtus
6.958682550581606,0.7292372757546731,51.043921046079134,spirtus
5.667899677550388,0.6506932409469873,32.54090086717863,spirtus
2.0397012461756043,0.1468743856439927,3.178038734474132,propana
7.09196331935311,0.853619020725425,52.66973492452311,spirtus
1.9500686762933488,0.135956333030595,2.7003405048085805,propana
6.332991815205721,0.897389779288744,42.08602869173944,spirtus
2.171112213374458,0.1592807785915599,3.8366047369689458,propana
6.602443582732052,0.7016359869804693,45.88863703283935,spirtus
5.798317444746818,0.6665809545968269,34.273781104197774,spirtus
6.160140177296834,0.5799528021157654,41.12341089808916,spirtus
2.040803834161322,0.1761246658794121,3.2155858571122176,propana
2.1604769355235085,0.1727017887001056,3.756239879515892,propana
5.279569831136786,0.6227512561191302,27.56500109878237,spirtus
5.703906874193556,0.9601876218280636,32.778589730668536,spirtus
2.0305358869179435,0.2432041676920042,3.1345975566355264,propana
5.912813672360769,0.8987023031714685,35.671649161310015,spirtus
5.535594753573196,0.6827611426825934,32.097523323037564,spirtus
2.1585741584503007,0.1967735042957482,3.885030797978131,propana
5.463447480978339,0.6145505187660748,31.372665717559784,spirtus
2.1512268426126293,0.1751139063292786,3.816685855510696,propana
5.684489794435786,0.5933315191930288,34.59879582671515,spirtus
2.0555453835459936,0.1876871283397361,3.255774533313104,propana
5.439170737763172,0.6293069774537492,29.63594278715197,spirtus
1.9736167883480824,0.1977769281921104,2.911624436155728,propana
2.0550763716358547,0.1774774795001135,3.288686404449604,propana
2.0994474066807705,0.1842151463628942,3.467102453703366,propana
2.030875430192021,0.2080469773703286,3.1504851768010558,propana
5.927052876264511,0.664905708717727,36.2218975877263,spirtus
2.0736378320305144,0.2274096711353693,3.409578115546932,propana
2.138477654556507,0.1911083075028835,3.749368536494651,propana
7.368316744474168,0.3861884735609856,56.81471896872732,spirtus
7.144989915502596,0.7172466679157029,53.5637362770155,spirtus
7.04792977879991,0.704405999234739,52.23271132712699,spirtus
6.232362130595603,0.5808685190199087,42.229177597514536,spirtus
2.091883297193349,0.1800580573327582,3.5218145594434613,propana
2.105466187353233,0.1618549281297019,3.58197039352216,propana
5.210829400617407,0.7075227779962026,27.494210314546105,spirtus
2.0847132385698863,0.1532427774247036,3.448800427642987,propana
5.386719537655376,0.6371638986568164,28.595001323163224,spirtus
2.16200687950062,0.1703526845292147,3.878611357327349,propana
5.538354020552235,0.68637583002944,30.711931545265905,spirtus
5.574956879833371,0.6751357399185958,31.1219127909694,spirtus
5.9374142517941095,0.7527804578428161,36.14483007989991,spirtus
2.0142164858716205,0.1799275241913374,3.094355559834881,propana
2.0996532174263494,0.1701411801080478,3.5418451925435197,propana
7.167522766102006,0.5192086259166594,54.24546463201749,spirtus
5.477589572399683,0.8487861127797823,29.442185716315564,spirtus
5.433552021289898,0.832139551480357,29.035449946474643,spirtus
5.407801933933143,0.750111160755855,28.77852745454885,spirtus
2.1466809120599835,0.2073399336485696,3.783546600023765,propana
2.1897207627655515,0.1578949680333371,4.0120807588534415,propana
1.942445519777694,0.188952631356156,2.7752126290677195,propana
7.408840606985099,0.7666252632796339,59.16480016486099,spirtus
2.114470079737579,0.1421690225074514,3.6131117549566527,propana
1.951034258905624,0.1931137881486299,2.8372441839496307,propana
2.110652322565614,0.1329601480327083,3.5649013333155475,propana
5.413731521579431,0.7089669611233711,28.85871518722872,spirtus
2.1151705102003437,0.1653373228628037,3.673263775601507,propana
5.456873526031778,0.6638330493339484,29.722503036169776,spirtus
5.4428579461578535,0.8125710021445187,29.0919082394086,spirtus
2.191213141191251,0.1680661970464776,4.055420339024902,propana
5.901759367564234,0.7778592315477425,35.42867155017261,spirtus
