TCD_AUC,TCD_Mean,TCD_Max,TCD_Skew,TCD_Kurtosis,TCD_Decay,Label
-48.90016365467521,-0.15596270671270787,4.653725566521134,5.103511590148998,26.080700619323924,-0.1704373769364593,butana
66.52797461778663,0.2120783601348026,5.017746589087075,4.770627683836397,23.38838309961181,-0.0020461484658841392,butana
161.93826781659533,0.5143872106621874,6.416042661783969,5.247023328775994,27.596211912609643,0.007830299721257563,butana
-27.78654569945526,-0.0903260833183431,6.045575167138859,5.059386144753156,25.47873246848271,-0.2772444976575222,butana
936.9302115885487,2.9696369507070006,6.633380863310338,1.1573570624868716,14.800542453039988,-0.0005873811575621852,butana
-62.490912300050965,-0.1993661292175619,4.679409129884184,5.164201959584388,25.90979262907962,-0.10624603479673686,butana
-549.8644101294939,-1.7582634106194852,7.909424197648651,5.056093780616293,25.540908741452107,-0.12772916523483915,butana
4.24650966505671,0.0131867565206331,3.1582975315837,5.177570568327929,25.882766640956156,0.1519148732270264,spirtus
44.63026719267967,0.14101709482462518,4.59077013879557,5.0957653228255975,25.55900151572236,0.06116817138166205,butana
50.363956969731,0.1589286752484219,6.2879574010680415,5.261599825240055,27.516808588025306,0.03560301892739417,butana
92.83134794345821,0.2997897120255003,3.65027590867352,4.596547051840876,23.531608160443596,0.009511962583788712,spirtus
58.002040971571105,0.18243967702563907,6.638471529753812,5.24206665006297,27.72099111865956,0.027731266364150565,butana
-84.99173312101755,-0.2733286055100175,1.407185018744185,4.326191554285576,20.83429835596534,-0.7087819549309917,spirtus
60.320200005612534,0.19087468562471124,6.538141912712095,5.194171064789986,26.782384439220184,0.05476172317768787,butana
-48.41546260561272,-0.15444523093979137,2.1598617964643294,5.240438197041067,26.31845806477377,-0.038470462912981805,spirtus
199.07676599556174,0.6374833529245373,2.9800474623469126,0.4836109091457642,-0.5240873372223445,0.010909403832339794,spirtus
45.9533672150722,0.14546361597055527,4.018031792047235,5.290355261595464,26.78697674813558,-0.0012559062162684153,spirtus
20.407137799022884,0.06484505365595557,3.625794663515712,5.289351462257036,26.714138492578968,-1.5073709555478987,spirtus
-165.10584099709104,-0.5294195056778628,3.4999093893029927,5.178216700700728,26.22085511777266,0.015534513649115395,spirtus
28.078912291848056,0.08931619718592178,2.119136464916545,3.7587037598602953,17.844515682904632,0.011076216742496287,spirtus
-445.5220955182391,-1.4184926709079635,6.911269856151786,4.527569748089027,21.170951893046627,-0.3638565550834448,butana
-36.03135486047049,-0.11499660621433819,2.77511616144911,5.279909929617483,26.583603713700885,-0.3387894911377226,spirtus
12.23601699814596,0.03852538102697967,4.24376063977189,5.269765094648778,26.594955742808658,-0.30435365785062485,butana
-43.39621523967885,-0.14142574639866615,2.4192555539357725,4.660015765173984,23.242957924210355,-0.3427524957724663,spirtus
8.442446179622173,0.026420837312637297,8.708454179366651,5.059295087038509,25.791012588370894,-0.37757900942651024,butana
-199.75594872242016,-0.6374568072189419,0.980669030744052,4.398654030077918,19.067541008185692,-0.48956137067723526,spirtus
26.221202758556483,0.08300648321938926,3.1456859810478583,4.9818993939040155,24.315190703254093,0.06820337823125715,spirtus
-110.32257118115928,-0.3510975497752221,1.1349494795912174,4.701503192495008,22.175709470587833,0.04835432928080412,spirtus
220.57861387540214,0.7011212367097447,9.105321512050276,5.036185709439314,25.620544316540215,-0.0018677621801155581,butana
