TCD_Max,TCD_AUC,TCD_Decay,Label
3.968394898667965,-46.53595923726086,0.2017701439039189,butana
4.547514857055746,66.54125633077847,0.0053420215703465,butana
5.551397865597811,162.3054962132187,0.0079459268580808,butana
5.21164296828879,-24.92731094286348,0.163368232123409,butana
5.817631589621163,939.3763030774152,0.0013614597133436,butana
4.235377553377239,-62.49054888400266,0.0351300764195332,butana
6.200414447714177,-546.047370938943,0.3592504947466545,butana
2.836700630481069,4.241452936003505,0.1341774967388423,spirtus
4.148544025717484,44.62610809034416,0.0622737936814225,butana
5.336133517256928,50.79111651072787,0.0363479089604452,butana
3.026171079120369,92.80034223495387,0.0095547146620773,spirtus
5.638240893187882,58.27704768851883,0.0295916996720021,butana
1.1418800885239957,-84.32054426146087,0.2276132741917959,spirtus
5.620712459096835,59.77677799603468,0.0534269777110986,butana
1.914980077348548,-48.37533894024619,-0.1738944840951183,spirtus
2.577833692648753,200.46008478989415,0.0128198954499892,spirtus
3.6469707273722975,45.94624709978562,0.0073670240913813,spirtus
3.319688511019177,20.403581639688102,-0.0133275066605069,spirtus
3.041657454078976,-165.13926884229403,-0.0630180260613431,spirtus
1.8068142554640687,28.071610002701966,0.0159154680179185,spirtus
5.644585383180618,-442.2228390885393,0.0995834961144273,butana
2.5400187851745724,-36.03280527654801,-0.037677411951762,spirtus
3.909670510768989,12.244341484657344,0.0445178615643671,butana
1.8701331642381664,-43.38731268514384,-0.2934157395749229,spirtus
7.127624935616319,6.632948141154557,0.0827628517571366,butana
0.8042096732837549,-199.02827331218083,-0.2051420120353962,spirtus
2.879164457639084,27.883127653248746,0.0762363954040107,spirtus
0.9741216386304972,-109.82369836610526,0.0014109214487473,spirtus
7.60247527756643,224.067043276901,0.0005043483499469,butana
5.6960266695740005,94.55215063348231,0.0477100950273992,butana
2.7851007136491823,-535.2926003100204,-0.1211907330295969,spirtus
3.430085986348129,-75.49631350394309,0.2211299118291095,spirtus
4.35357521804804,-91.21758269509506,0.1608276900723606,butana
1.5473214762718046,-215.4199670570083,-0.2255868930008377,spirtus
2.092469483150966,-26.67821754707561,0.129462230385221,spirtus
7.873424077918615,152.06841637383195,0.0274852633053973,butana
3.1621434980905123,-12.548146442843043,-0.0702227403596733,spirtus
6.752311787126986,-8.148322255001816,0.1126439496981418,butana
1.480622315004255,-69.56699054542382,-0.1568021297565838,spirtus
4.4012932593054845,117.57023945098072,0.0364734999825732,butana
2.464299222645101,-89.02904291671177,-0.0611360609586568,spirtus
3.6829480506145056,54.43229655012705,0.0313605506096451,butana
8.554140413862335,761.1086419713946,0.0022815422386384,butana
5.646345822291859,-240.9026504432082,0.4687783618891407,butana
3.647880630028844,28.59594718096021,0.0849674403301399,butana
3.0782596904308988,-53.81821308556981,0.0325755868433359,spirtus
5.077934944680381,-51.26213603037214,-0.0590699079028777,butana
4.9522728352039165,-0.7613385132242811,0.113479873412355,butana
3.8594177609918017,190.5012528291165,0.0046524791297169,spirtus
3.268435617610068,27.566058514648063,0.0570853455764376,spirtus
1.1430079125573671,-70.88422082755591,0.1596341274347328,spirtus
1.249255484428343,-3.620658600245026,0.032672694079875,spirtus
4.589802065791004,29.600786923009835,0.1747739831593293,butana
5.206030533225479,84.65977255181224,0.0055079384582682,butana
2.8960968624835366,-83.07722290068297,0.0509383010931157,spirtus
6.094783142009304,220.3858946081077,0.0159678261126335,butana
3.500038390997514,-51.80547076746848,-0.0521328832563877,spirtus
9.282891408019175,85.61236957774672,0.1816957686668991,butana
2.035929836708576,-135.96312453605742,-0.0333303673164181,spirtus
2.4173869862162465,-20.53451754521069,0.1135089132100448,spirtus
3.40775268106021,15.927668921339048,-0.1407971481402209,spirtus
4.812363748807728,-27.12825303857391,0.2662780924313253,butana
6.460341547664215,68.3572311877334,0.0432750164205877,butana
3.487866580193783,-91.91355601362672,-0.048999187516048,spirtus
1.518320873419924,-107.75171801541032,0.0228947861212705,spirtus
1.9724768250449285,-96.02043910234944,-0.1529536069509942,spirtus
1.603929261298883,-71.45424384230714,-0.0043962391601727,spirtus
3.763048092895497,-42.76836563160018,0.0005162337135057,butana
5.567083220610917,-2.1228396303052577,0.1410845407011347,butana
3.615800527759078,208.84378807646897,-0.0005423873396106,butana
2.1898828306513938,-19.737955672651253,-0.6862504475400709,spirtus
5.074460127739747,71.55144279162892,0.076121103933966,butana
3.7658282357944746,78.7999980925658,0.0324503071359249,butana
4.38919178645411,0.2621744578264149,0.1424151732531547,butana
1.3670548461229437,-6.714950323080936,-0.1565007441897112,spirtus
7.803934562999523,52.73709713821876,0.2972975872700726,butana
3.2794724543448464,-98.7905566224612,-0.1702412187198265,spirtus
1.2901481088671192,-277.5437586895665,0.0525189554854786,spirtus
6.465307954015657,173.8956354512456,3.5001316260837693e-06,butana
3.496263607067096,-31.90721668117909,0.1481217083930208,spirtus
