Time (s),TCD (mV),TVOC (ppb)
1.12,0.0,0.0
1.44,2.399999999999636,0.0
1.66,6.170000000000073,0.0
1.87,7.569999999999709,0.0
2.1,6.369999999999891,0.0
2.43,8.770000000000437,0.0
2.65,4.329999999999927,0.0
2.86,8.0,0.0
3.19,7.710000000000036,0.0
3.41,7.229999999999563,0.0
3.63,7.3400000000001455,0.0
3.95,7.520000000000437,0.0
4.17,5.389999999999418,0.0
4.4,6.319999999999709,0.0
4.72,9.930000000000293,0.0
4.94,8.789999999999964,0.0
5.16,8.239999999999782,0.0
5.49,6.630000000000109,0.0
5.71,7.389999999999418,0.0
5.93,10.789999999999964,0.0
6.25,12.210000000000036,0.0
6.47,14.30999999999949,0.0
6.69,16.399999999999636,0.0
7.02,18.13999999999941,0.0
7.24,18.850000000000364,0.0
7.46,20.229999999999563,0.0
7.79,25.63999999999941,0.0
8.0,25.19999999999981,0.0
8.22,29.38000000000011,0.0
8.55,32.969999999999345,0.0
8.78,34.18000000000029,0.0
8.99,34.529999999999745,0.0
9.21,37.69000000000051,0.0
9.54,42.51000000000022,0.0
9.75,45.67000000000007,0.0
9.97,46.26000000000022,0.0
10.3,43.56999999999971,0.0
10.53,48.78999999999997,0.0
10.75,47.71999999999935,0.0
11.07,45.05999999999949,0.0
11.29,46.13000000000011,0.0
11.51,49.61999999999989,0.0
11.83,52.11999999999989,0.0
12.05,48.19999999999982,0.0
12.27,47.77999999999975,0.0
12.6,50.84000000000015,0.0
12.82,53.43000000000029,0.0
13.03,53.409999999999854,0.0
13.36,57.86999999999989,0.0
13.58,62.92000000000007,0.0
13.81,65.60000000000036,0.0
14.03,66.02000000000044,0.0
14.37,68.0,0.0
14.59,75.57999999999993,0.0
14.81,80.42000000000007,0.0
15.13,80.42000000000007,0.0
15.35,79.57999999999993,0.0
15.56,78.75,0.0
15.89,76.86000000000058,0.0
16.12,76.44000000000051,0.0
16.34,78.15999999999985,0.0
16.66,81.94000000000051,0.0
16.88,84.11999999999989,0.0
17.09,87.88999999999942,0.0
17.42,92.98999999999978,2.0
17.64,100.80999999999948,2.0
17.86,113.29999999999929,2.0
18.22,122.29999999999929,2.0
18.43,129.61000000000058,8.0
18.65,135.78999999999996,8.0
18.86,140.78999999999996,8.0
19.19,144.40999999999983,8.0
19.41,145.14999999999964,0.0
19.73,143.5599999999995,0.0
19.96,146.5,0.0
20.17,147.21999999999937,0.0
20.4,145.8099999999995,6.0
20.73,148.8099999999995,6.0
20.94,150.27000000000044,6.0
21.16,151.07999999999993,6.0
21.49,159.21999999999937,2.0
21.7,159.73999999999978,2.0
21.93,162.61000000000058,2.0
22.26,168.96000000000004,2.0
22.48,169.02999999999977,6.0
22.7,168.14999999999964,6.0
23.02,168.42000000000007,6.0
23.24,167.32999999999993,6.0
23.46,164.8099999999995,3.0
23.78,160.63999999999942,3.0
24.0,149.6300000000001,3.0
24.23,148.76000000000022,3.0
24.77,150.46000000000004,8.0
24.99,145.1199999999999,8.0
25.21,140.47999999999956,8.0
25.54,141.02999999999977,8.0
25.76,138.4300000000003,2.0
26.08,131.27000000000044,2.0
26.3,127.21000000000004,2.0
26.52,129.19999999999982,2.0
26.84,127.69999999999982,4.0
27.06,123.61999999999988,4.0
27.29,117.94999999999982,4.0
27.51,117.61999999999988,4.0
27.83,122.07999999999991,3.0
28.05,121.46999999999936,3.0
28.27,123.26000000000022,3.0
28.59,127.34000000000016,3.0
28.81,134.27000000000044,1.0
29.04,138.21999999999937,1.0
29.37,143.36000000000058,1.0
29.59,150.84000000000017,1.0
29.8,156.6800000000003,1.0
30.13,163.4300000000003,1.0
30.34,163.21999999999937,1.0
30.56,162.09000000000017,1.0
30.89,161.8099999999995,4.0
31.11,165.5599999999995,4.0
31.33,164.22999999999956,4.0
31.56,158.5699999999997,4.0
31.89,160.3800000000001,0.0
32.1,157.96000000000004,0.0
32.43,158.5,0.0
32.64,154.97999999999956,0.0
32.86,158.8699999999999,3.0
33.09,167.65999999999983,3.0
33.42,174.22999999999956,3.0
33.65,178.02000000000044,3.0
33.87,186.54999999999927,2.0
34.2,194.8500000000004,2.0
34.41,196.79999999999927,2.0
34.63,201.4799999999996,2.0
34.95,203.77000000000044,5.0
35.17,207.33,5.0
35.39,211.1199999999999,5.0
35.73,214.65999999999983,5.0
35.95,217.29,6.0
36.16,219.4400000000005,6.0
36.49,219.4300000000003,6.0
36.7,221.08,6.0
36.92,222.2299999999996,6.0
37.25,222.6000000000004,6.0
37.5,223.36000000000053,6.0
37.71,218.67000000000007,6.0
37.93,209.0299999999997,5.0
38.25,200.44999999999985,5.0
38.48,194.1300000000001,5.0
38.69,190.86000000000053,5.0
39.02,188.76000000000025,0.0
39.24,187.8699999999999,0.0
39.45,185.40999999999983,0.0
39.78,185.11000000000053,0.0
40.01,182.23999999999967,12.0
40.22,182.75,12.0
40.56,184.86000000000053,12.0
40.76,186.7799999999997,12.0
40.98,172.52999999999977,8.0
41.32,159.02999999999977,8.0
41.54,342.59000000000015,8.0
41.76,735.3999999999996,8.0
42.08,1057.87,7.0
42.3,1072.4499999999998,7.0
42.52,1343.21,7.0
42.84,1804.82,7.0
43.06,2228.04,226.0
43.29,2403.86,226.0
43.51,2535.68,226.0
43.83,2659.13,226.0
44.05,2586.86,2875.0
44.27,2307.34,2875.0
44.6,2097.39,2875.0
44.82,2194.37,2875.0
45.14,2039.84,7667.0
45.36,1689.5100000000002,7667.0
45.58,1382.21,7667.0
45.81,1323.25,7667.0
46.15,1322.08,9974.0
46.37,1328.6,9974.0
46.59,1333.85,9974.0
46.91,1338.0499999999995,9974.0
47.13,1346.8199999999997,9456.0
47.35,1354.23,9456.0
47.67,1358.1,9456.0
47.89,1368.58,9456.0
48.11,1372.88,8623.0
48.44,1375.4499999999998,8623.0
48.65,1374.8199999999997,8623.0
48.87,1374.38,8623.0
49.2,1369.98,7441.0
49.43,1364.64,7441.0
49.65,1356.0299999999995,7441.0
49.87,1345.7799999999995,7441.0
50.19,1334.9499999999998,6714.0
50.41,1328.3199999999997,6714.0
50.63,1320.06,6714.0
50.95,1312.85,6714.0
51.18,1307.5699999999997,6012.0
51.39,1299.15,6012.0
51.72,1297.2799999999995,6012.0
51.95,1296.9699999999998,6012.0
52.18,1299.19,5490.0
52.51,1299.19,5490.0
52.73,1303.17,5490.0
52.94,1303.79,5490.0
53.27,1306.0499999999995,4999.0
53.49,1310.4899999999998,4999.0
53.7,1314.4,4999.0
53.93,1317.2399999999998,4999.0
54.26,1317.23,4342.0
