Time (s),TCD (mV),TVOC (ppb)
0.1700000000000017,0.016179598993971197,-0.33891489798486224
0.490000000000002,0.20197613356153668,-0.33891489798486224
0.7100000000000009,0.3729867123284578,-0.3386612732738077
0.9299999999999996,0.6202805440322486,-0.3386612732738077
1.25,0.9472599333813582,-0.3386612732738077
1.4699999999999989,1.2822718315910242,-0.3386612732738077
1.7000000000000028,1.5514887846116805,-0.33891489798486224
2.030000000000001,1.7521735999335233,-0.33891489798486224
2.240000000000002,1.7696711670055618,-0.33891489798486224
2.460000000000001,1.5748700365178845,-0.33891489798486224
2.789999999999999,1.298515917981002,-0.3391685226959168
3.009999999999998,1.0851428084080927,-0.3391685226959168
3.229999999999997,0.8760417656495558,-0.3391685226959168
3.549999999999997,0.5924225754043975,-0.3391685226959168
3.770000000000003,0.22395041735522006,-0.3384076485627531
3.990000000000002,-0.13707760031681862,-0.3384076485627531
4.310000000000002,-0.4327967163296255,-0.3384076485627531
4.539999999999999,-0.6452489013197967,-0.3384076485627531
4.759999999999998,-0.7363436912957161,-0.3386612732738077
5.0,-0.7752783361548402,-0.3386612732738077
5.32,-0.7909340540614004,-0.3386612732738077
5.539999999999999,-0.8095060331466344,-0.3386612732738077
5.759999999999998,-0.8138548436762343,-0.3373931497185349
6.090000000000003,-0.8172315671462758,-0.3373931497185349
6.299999999999997,-0.818485047828339,-0.3373931497185349
6.520000000000003,-0.8254431446756996,-0.3373931497185349
6.850000000000001,-0.8358547087083297,-0.3391685226959168
7.060000000000002,-0.8573941114490553,-0.3391685226959168
7.280000000000001,-0.8844590616862134,-0.3391685226959168
7.619999999999997,-0.9057938145196638,-0.3391685226959168
7.840000000000003,-0.9148751541550033,-0.3391685226959168
8.079999999999998,-0.9132123736583925,-0.3391685226959168
8.310000000000002,-0.9151821290159183,-0.3391685226959168
8.630000000000003,-0.9113961057313241,-0.3391685226959168
8.850000000000001,-0.9133658610888478,-0.3391685226959168
9.060000000000002,-0.9157960787377437,-0.3391685226959168
9.39,-0.9079938010228724,-0.3391685226959168
9.619999999999996,-0.9035170843012252,-0.3391685226959168
9.840000000000003,-0.8829497686200577,-0.3384076485627531
10.159999999999997,-0.8544778502703814,-0.3384076485627531
10.380000000000004,-0.8388988760790488,-0.3384076485627531
10.6,-0.8314291544635024,-0.3384076485627531
10.93,-0.8226803709274831,-0.33815402385169857
11.15,-0.8199687596560844,-0.33815402385169857
11.36,-0.8146990245437444,-0.33815402385169857
11.689999999999998,-0.8136246125305486,-0.33815402385169857
11.920000000000002,-0.8067688406368256,-0.33891489798486224
12.130000000000004,-0.8036479295508788,-0.33891489798486224
12.46,-0.812908337855086,-0.33891489798486224
12.68,-0.8232175769340783,-0.33891489798486224
12.9,-0.8322477540926029,-0.3391685226959168
13.22,-0.8441174487145688,-0.3391685226959168
13.439999999999998,-0.8435546614695634,-0.3391685226959168
13.65,-0.8480057969528007,-0.3391685226959168
13.89,-0.8560638870517646,-0.33891489798486224
14.21,-0.8654266203096093,-0.33891489798486224
14.43,-0.8750963284283688,-0.33891489798486224
14.65,-0.8852009176000862,-0.33891489798486224
14.97,-0.8886543847853555,-0.3384076485627531
15.189999999999998,-0.8986310677650278,-0.3384076485627531
15.420000000000002,-0.914056554525903,-0.3384076485627531
15.740000000000002,-0.9191728022077854,-0.3384076485627531
15.96,-0.9255936930485484,-0.33815402385169857
16.18,-0.9284332105119925,-0.33815402385169857
16.5,-0.924493699796943,-0.33815402385169857
16.72,-0.9150286415854608,-0.33815402385169857
16.939999999999998,-0.9177658340952696,-0.3391685226959168
17.259999999999998,-0.9070217139633144,-0.3391685226959168
17.479999999999997,-0.9024170910496221,-0.3391685226959168
17.700000000000003,-0.8901380966131013,-0.3391685226959168
18.06,-0.8718730923887823,-0.337900399140644
18.26,-0.8670126570909948,-0.337900399140644
18.49,-0.8751474909051865,-0.337900399140644
18.71,-0.8807753633552567,-0.337900399140644
19.04,-0.8922357581626748,-0.3391685226959168
19.26,-0.8982729304272952,-0.3391685226959168
19.48,-0.9003961732152762,-0.3391685226959168
19.8,-0.9110123871551815,-0.3391685226959168
20.020000000000003,-0.9171007218966243,-0.3366322755853712
20.24,-0.9322192337965869,-0.3366322755853712
20.56,-0.9423494042067118,-0.3366322755853712
20.78,-0.9373610627168791,-0.3366322755853712
21.11,-0.9372587377632393,9.52962260914811
21.340000000000003,-0.9395098867432702,9.52962260914811
21.56,-0.9275122859292544,9.52962260914811
21.78,-0.9210913950884914,9.52962260914811
22.1,-0.9167170033204819,8.76063248523068
22.32,-0.9076868261619597,8.76063248523068
22.53,-0.9011380291291514,8.76063248523068
22.86,-0.8940264448513331,8.76063248523068
23.08,-0.8922101769242647,2.7730603066546027
23.3,-0.8994496673941285,2.7730603066546027
23.64,-0.8999101296854984,2.7730603066546027
23.85,-0.8902915840435588,2.7730603066546027
24.07,-0.905947301950119,1.2363481823750169
24.40000000000001,-0.9037217342085003,1.2363481823750169
24.61,-0.9025705784800773,1.2363481823750169
24.83,-0.9106542498174512,1.2363481823750169
25.16,-0.9121635428836069,0.6565620929042901
25.39,-0.9171263031350343,0.6565620929042901
25.590000000000003,-0.9245960247505806,0.6565620929042901
25.83,-0.9318355152204464,0.6565620929042901
26.17,-0.9372587377632393,0.3400384535081979
26.39,-0.944012184703325,0.3400384535081979
26.599999999999994,-0.9390238432134901,0.3400384535081979
26.930000000000007,-0.9462121712065337,0.3400384535081979
27.15000000000001,-0.9652701938215478,0.17137802065691474
27.36,-0.9701050478809253,0.17137802065691474
27.69,-0.9918746817673358,0.17137802065691474
27.91,-0.9984234788001443,0.17137802065691474
28.129999999999995,-0.9984234788001443,0.018695944602068935
28.47,-0.9957630300055677,0.018695944602068935
28.680000000000007,-0.9910816633766454,0.018695944602068935
28.90000000000001,-0.9891886517343471,0.018695944602068935
29.230000000000004,-0.9838933353835995,-0.04800735440528064
29.450000000000003,-0.9883700521052466,-0.04800735440528064
29.66,-0.9843537976749674,-0.04800735440528064
29.989999999999995,-0.9911839883302807,-0.04800735440528064
30.21,-0.9724329405761815,-0.09721054834986549
30.42,-0.9682887799538592,-0.09721054834986549
30.75,-0.9701562103577452,-0.09721054834986549
30.97,-0.9757329203309979,-0.09721054834986549
31.19,-0.9782143004567092,-0.14463836931706842
31.53,-0.9881654021979716,-0.14463836931706842
31.739999999999995,-0.9941002495089546,-0.14463836931706842
31.96,-0.9908002697541404,-0.14463836931706842
32.28,-0.9877816836218289,-0.18344295010841627
32.5,-0.9714864347550358,-0.18344295010841627
32.72,-0.9712562036093507,-0.18344295010841627
33.05,-0.9627888136958341,-0.18344295010841627
33.260000000000005,-0.9462889149217637,-0.20703004823649046
33.510000000000005,-0.9353657261209433,-0.20703004823649046
33.730000000000004,-0.9303518033926984,-0.20703004823649046
34.05,-0.9250820682803583,-0.20703004823649046
34.27,-0.9187123399164152,-0.2209794073444913
