Time (s),TCD (mV),TVOC (ppb)
0.1899999999999977,-0.11507773528472297,-0.33764677442958946
0.5200000000000031,-0.1133893735497021,-0.33764677442958946
0.75,-0.11308239868878711,-0.3384076485627531
0.9699999999999988,-0.11257077392059933,-0.3384076485627531
1.2899999999999991,-0.11249403020537174,-0.3384076485627531
1.509999999999998,-0.11300565497355952,-0.3384076485627531
1.7199999999999989,-0.11364518593379484,-0.3366322755853712
2.0600000000000023,-0.11753353417202433,-0.3366322755853712
2.280000000000001,-0.12280326928436433,-0.3366322755853712
2.5,-0.12804742315829434,-0.3366322755853712
2.8200000000000003,-0.13434040780700993,-0.3371395250074803
3.030000000000001,-0.1405310675020879,-0.3371395250074803
3.25,-0.1458775463296555,-0.3371395250074803
3.5900000000000034,-0.15155658125654572,-0.3371395250074803
3.799999999999997,-0.15457516738885482,-0.33764677442958946
4.030000000000001,-0.1556751606404603,-0.33764677442958946
4.359999999999999,-0.1544216799583973,-0.33764677442958946
4.57,-0.1525030870776914,-0.33764677442958946
4.789999999999999,-0.14974031332947502,-0.3371395250074803
5.119999999999997,-0.14713102701171615,-0.3371395250074803
5.329999999999998,-0.14493104050850752,-0.3371395250074803
5.57,-0.14331942248871427,-0.3371395250074803
5.799999999999997,-0.1421426855218812,-0.3386612732738077
6.119999999999997,-0.14152873580005584,-0.3386612732738077
6.340000000000003,-0.14265431029006898,-0.3386612732738077
6.560000000000002,-0.14441941574031741,-0.3386612732738077
6.890000000000001,-0.14805195159445417,-0.33688590029642573
7.100000000000001,-0.1490496198924221,-0.33688590029642573
7.32,-0.1501751943824352,-0.33688590029642573
7.649999999999999,-0.15073798162744295,-0.33688590029642573
7.859999999999999,-0.15168448744859092,-0.337900399140644
8.079999999999998,-0.15163332497177331,-0.337900399140644
8.420000000000002,-0.15183797487904843,-0.337900399140644
8.64,-0.14986821952152488,-0.337900399140644
8.86,-0.14986821952152488,-0.33764677442958946
9.18,-0.15130076887245067,-0.33764677442958946
9.4,-0.15160774373336333,-0.33764677442958946
9.619999999999996,-0.15204262478632355,-0.33764677442958946
9.939999999999998,-0.15401238014384708,-0.3391685226959168
10.170000000000002,-0.15457516738885482,-0.3391685226959168
10.39,-0.15334726794520182,-0.3391685226959168
10.71,-0.15050775048176018,-0.3391685226959168
10.93,-0.1470287020580786,-0.33764677442958946
11.15,-0.1471054457733062,-0.33764677442958946
11.47,-0.14674730843557357,-0.33764677442958946
11.700000000000005,-0.14244966038279386,-0.33764677442958946
11.920000000000002,-0.13769155003864397,-0.3363786508743166
12.240000000000002,-0.13375203932359223,-0.3363786508743166
12.46,-0.12807300439670433,-0.3363786508743166
12.68,-0.12502883702598294,-0.3363786508743166
13.0,-0.12344280024459964,-0.3373931497185349
13.22,-0.12193350717844625,-0.3373931497185349
13.450000000000005,-0.12009165801296558,-0.3373931497185349
13.670000000000002,-0.11546145386086322,-0.3373931497185349
14.0,-0.10847777577509472,-0.3371395250074803
14.21,-0.09908946127884016,-0.3371395250074803
14.43,-0.09013602783554579,-0.3371395250074803
14.759999999999998,-0.0837151369947827,-0.3371395250074803
14.97,-0.07788261463743497,-0.33815402385169857
15.200000000000005,-0.06997801196892846,-0.33815402385169857
15.53,-0.06084550985676663,-0.33815402385169857
15.740000000000002,-0.05450136273123345,-0.33815402385169857
15.96,-0.048822327804345554,-0.3373931497185349
16.29,-0.040585169036511756,-0.3373931497185349
16.5,-0.034471253056663646,-0.3373931497185349
16.72,-0.03306428494414551,-0.3373931497185349
17.049999999999997,-0.03334567856664821,-0.33612502616326206
17.28,-0.031222435778667162,-0.33612502616326206
17.5,-0.03879448234785566,-0.33612502616326206
17.82,-0.051943238890292204,-0.33612502616326206
18.04,-0.063608283604983,-0.33688590029642573
18.26,-0.0752221658428585,-0.33688590029642573
18.8,-0.09758016821268443,-0.33688590029642573
19.36,-0.12147304488707608,-0.33612502616326206
19.58,-0.13733341270091137,-0.33612502616326206
19.79,-0.16056117717665772,-0.33612502616326206
20.11,-0.051815332698244676,-0.33764677442958946
20.33,1.282067181683749,-0.33764677442958946
20.55,2.4543018505566674,-0.33764677442958946
20.78,3.6502759086735197,-0.33764677442958946
21.11,3.6034878236227046,10.740934229144694
21.32,3.5565718323798428,10.740934229144694
21.86,3.4791630049529596,10.740934229144694
22.08,3.5153092948254603,9.078931497604154
22.31,3.567725252326346,9.078931497604154
22.66,3.499269858342759,9.078931497604154
22.87,2.2124056601572626,9.078931497604154
23.090000000000003,1.0859358267987833,2.915597394267266
23.42,-0.06263619654542736,2.915597394267266
23.630000000000003,0.030146955165512836,2.915597394267266
23.85,0.11934873349913386,2.915597394267266
24.180000000000007,0.24085961594384311,1.373812775766589
24.40000000000001,0.29110116817993015,1.373812775766589
24.61,0.3083685041062834,1.373812775766589
24.94,0.3158382257218321,1.373812775766589
25.17,0.3219777229400903,0.8026499264717174
25.39,0.32558467755581694,0.8026499264717174
25.930000000000007,0.32901256350267877,0.8026499264717174
26.15000000000001,0.3328753305025006,0.4097852490482022
26.47,0.33886134029030335,0.4097852490482022
26.69,0.341803182707385,0.4097852490482022
27.14,0.34651013057471725,0.2231174617120452
27.46,0.3485566296474684,0.2231174617120452
27.680000000000007,0.34871011707792593,0.2231174617120452
27.91,0.35080777862749946,0.2231174617120452
28.230000000000004,0.35380078352140076,0.09123261196367341
28.450000000000003,0.3580984315741803,0.09123261196367341
28.66,0.3615774799978596,0.09123261196367341
29.0,0.3618844548587746,0.09123261196367341
29.239999999999995,0.3610914364680818,-0.017826013789787865
29.450000000000003,0.35935191225624113,-0.017826013789787865
29.78,0.358226337766228,-0.017826013789787865
30.0,0.35656355726961725,-0.017826013789787865
30.21,0.35651239479279717,-0.06728283244542728
30.53,0.3561286762166568,-0.06728283244542728
30.77,0.3551821703955065,-0.06728283244542728
30.980000000000004,0.3521891655016049,-0.06728283244542728
31.31,0.3467659429588123,-0.11597877696790301
31.53,0.3443357253099163,-0.11597877696790301
31.739999999999995,0.3433124757735407,-0.11597877696790301
31.96,0.3432357320583105,-0.11597877696790301
32.290000000000006,0.34211015756829755,-0.15757322958085104
32.5,0.3418543451842051,-0.15757322958085104
